Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Bonham,templvol_5,STD,,1,1000000,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20000000,,,1000000,10127.634765625,16412,16412,0,0,0,0,0,,,,,,,,,5767.34912109375,,,7.18284344050269,,,,,,,,,,,,,9101.42514647247,,9101.42514647247,,,,,1000000,11049.0439453125,,,,,,,,,,,,,No
A02,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.175703778862953,0,20062,0,20062,0,0,0,0,,,,,,,,,5767.34912109375,,,,14.6081534422569,,,,,,,,,,,,,4108.25153037547,4108.25153037547,,,,,0.0802832767367363,0,,,,,,,,,,,,,No
A03,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.178109884262085,0,19791,0,19791,0,0,0,0,,,,,,,,,5767.34912109375,,,,13.363363765951,,,,,,,,,,,,,4132.00961681653,4132.00961681653,,,,,0.0813826471567154,0,,,,,,,,,,,,,No
A04,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.205360531806946,0,17165,0,17165,0,0,0,0,,,,,,,,,5767.34912109375,,,,11.9897219140014,,,,,,,,,,,,,4187.8345154822,4187.8345154822,,,,,0.0938335210084915,0,,,,,,,,,,,,,No
A05,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.173926413059235,0,20267,0,20267,0,0,0,0,,,,,,,,,5767.34912109375,,,,13.4334254875825,,,,,,,,,,,,,4134.18083389003,4134.18083389003,,,,,0.0794711858034134,0,,,,,,,,,,,,,No
A06,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.171214416623116,0,20588,0,20588,0,0,0,0,,,,,,,,,5767.34912109375,,,,9.16946233177165,,,,,,,,,,,,,4407.34684289458,4407.34684289458,,,,,0.0782320648431778,0,,,,,,,,,,,,,No
A07,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.218919008970261,0,16102,0,16102,0,0,0,0,,,,,,,,,5767.34912109375,,,,11.0997440645041,,,,,,,,,,,,,4166.75786455159,4166.75786455159,,,,,0.100028358399868,0,,,,,,,,,,,,,No
B01,Bonham,templvol_5,STD,,1,1479.57019042969,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,29591.404296875,,,1507.90185546875,1451.90454101563,17079,12223,4856,0,0,0,0,,,,,,,,,5767.34912109375,,,5.10481136424629,16.5381608695166,,,,,,,,,,,,9386.88734884573,3819.01926126747,7803.79891080603,,,,,1493.93981933594,1465.37377929688,,,,,,,,,,,,,No
B02,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.180490329861641,0,19530,0,19530,0,0,0,0,,,,,,,,,5767.34912109375,,,,14.2380449854014,,,,,,,,,,,,,4143.40132435976,4143.40132435976,,,,,0.0824702829122543,0,,,,,,,,,,,,,No
B03,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.185838490724564,0,18968,0,18968,0,0,0,0,,,,,,,,,5767.34912109375,,,,12.7607952100127,,,,,,,,,,,,,4174.29833082105,4174.29833082105,,,,,0.0849138721823692,0,,,,,,,,,,,,,No
B04,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.195117801427841,0,18066,0,18066,0,0,0,0,,,,,,,,,5767.34912109375,,,,13.439939721592,,,,,,,,,,,,,4001.64940326496,4001.64940326496,,,,,0.0891536176204681,0,,,,,,,,,,,,,No
B05,Bonham,templvol_5,,,1,0.0581303238868713,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.16260647773743,,,0.277656346559525,0.00244141579605639,20239,1,20238,0,0,0,0,,,,,,,,,5767.34912109375,,,,10.5659124266035,,,,,,,,,,,,6310.06884765625,4315.55699228739,4315.65554023221,,,,,0.144691705703735,0.0157530345022678,,,,,,,,,,,,,No
B06,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.181270062923431,0,19446,0,19446,0,0,0,0,,,,,,,,,5767.34912109375,,,,9.74082858091294,,,,,,,,,,,,,4354.27493159643,4354.27493159643,,,,,0.0828265398740768,0,,,,,,,,,,,,,No
B07,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.220356076955795,0,15997,0,15997,0,0,0,0,,,,,,,,,5767.34912109375,,,,8.57751408712685,,,,,,,,,,,,,4270.01772193553,4270.01772193553,,,,,0.100684948265553,0,,,,,,,,,,,,,No
C01,Bonham,templvol_5,STD,,1,158.949859619141,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3178.9970703125,,,165.511978149414,152.42414855957,17962,2270,15692,0,0,0,0,,,,,,,,,5767.34912109375,,,9.62930292795787,17.4115036456385,,,,,,,,,,,,9876.71617824202,3867.77226939944,4627.1700354095,,,,,162.293319702148,155.61589050293,,,,,,,,,,,,,No
C02,Bonham,templvol_5,,,1,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.17859722673893,0,19737,0,19737,0,0,0,0,,,,,,,,,5767.34912109375,,,,14.1910593807175,,,,,,,,,,,,,4135.64460481256,4135.64460481256,,,,,0.0816053077578545,0,,,,,,,,,,,,,No
