"","obd.y","obd.m","obd.d","eval_detect","Lat_Species","latitude","longitude","observed_on","source","ssnno","ssnno2","yer_ssn2"
"1",2021,5,17,"no eDNA","Bonnemaisonia hamifera",56.1547333333333,10.3170055555556,"2021-05-17","ddPCR","1st","Jan-Jun","Jan-Jun"
"2",2021,5,17,"no eDNA","Bonnemaisonia hamifera",56.1547333333333,10.3170055555556,"2021-05-17","qPCR","1st","Jan-Jun","Jan-Jun"
"3",2021,4,15,"no eDNA","Bonnemaisonia hamifera",56.6008333333333,8.400225,"2021-04-15","ddPCR","1st","Jan-Jun","Jan-Jun"
"4",2021,4,15,"no eDNA","Bonnemaisonia hamifera",56.6008333333333,8.400225,"2021-04-15","qPCR","1st","Jan-Jun","Jan-Jun"
"5",2021,3,19,"no eDNA","Bonnemaisonia hamifera",55.0262,10.3685111111111,"2021-03-19","ddPCR","1st","Jan-Jun","Jan-Jun"
"6",2021,3,19,"no eDNA","Bonnemaisonia hamifera",55.0262,10.3685111111111,"2021-03-19","qPCR","1st","Jan-Jun","Jan-Jun"
"7",2021,3,15,"no eDNA","Bonnemaisonia hamifera",54.8341666666667,9.81666666666667,"2021-03-15","ddPCR","1st","Jan-Jun","Jan-Jun"
"8",2021,3,15,"no eDNA","Bonnemaisonia hamifera",54.8341666666667,9.81666666666667,"2021-03-15","qPCR","1st","Jan-Jun","Jan-Jun"
"9",2021,3,17,"no eDNA","Bonnemaisonia hamifera",55.8656666666667,11.7835111111111,"2021-03-17","ddPCR","1st","Jan-Jun","Jan-Jun"
"10",2021,3,17,"no eDNA","Bonnemaisonia hamifera",55.8656666666667,11.7835111111111,"2021-03-17","qPCR","1st","Jan-Jun","Jan-Jun"
"11",2021,4,14,"no eDNA","Bonnemaisonia hamifera",55.1395,11.5002361111111,"2021-04-14","ddPCR","1st","Jan-Jun","Jan-Jun"
"12",2021,4,14,"no eDNA","Bonnemaisonia hamifera",55.1395,11.5002361111111,"2021-04-14","qPCR","1st","Jan-Jun","Jan-Jun"
"13",2021,4,26,"no eDNA","Bonnemaisonia hamifera",56.0778333333333,8.21670555555556,"2021-04-26","ddPCR","1st","Jan-Jun","Jan-Jun"
"14",2021,4,26,"no eDNA","Bonnemaisonia hamifera",56.0778333333333,8.21670555555556,"2021-04-26","qPCR","1st","Jan-Jun","Jan-Jun"
