Well,Sampledescription1,Sampledescription2,Sampledescription3,Sampledescription4,Target,Conc(copies/µL),MolecularWeight(pg/µL),Status,StatusReason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,AcceptedDroplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Sample
A01,STD,,voltempl5,,Homame,4063.23168945313,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,81264.6328125,,,4160.56787109375,3973.33666992188,18655,18065,590,0,0,0,0,,,,,,,,,6156.22705078125,,,3.22005505075297,0.963831114875889,,,,,,,,,,,,7219.43735958367,5693.65815326238,7171.1816784403,,,,,4111.88671875,4016.50927734375,,,,,,,,,,,,,No,STD
A02,unknown,,voltempl5,,Homame,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.233586624264717,0,15091,0,15091,0,0,0,0,,,,,,,,,6156.22705078125,,,,14.571096295213,,,,,,,,,,,,,3918.05843420359,3918.05843420359,,,,,0.106729917228222,0,,,,,,,,,,,,,No,unknown
A03,unknown,,voltempl5,,Homame,0.0677788034081459,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,1.3555760383606,,,0.323746800422668,0.00284663122147322,17358,1,17357,0,0,0,0,,,,,,,,,6156.22705078125,,,,18.0801112776801,,,,,,,,,,,,6188.333984375,3983.75073911721,3983.87774587175,,,,,0.168708696961403,0.0183676686137915,,,,,,,,,,,,,No,unknown
A04,unknown,,voltempl5,,Homame,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.365880042314529,0,9635,0,9635,0,0,0,0,,,,,,,,,6156.22705078125,,,,10.3202073161186,,,,,,,,,,,,,4415.47157344135,4415.47157344135,,,,,0.16717204451561,0,,,,,,,,,,,,,No,unknown
A05,unknown,,voltempl5,,Homame,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.195182636380196,0,18060,0,18060,0,0,0,0,,,,,,,,,6156.22705078125,,,,15.0592816929984,,,,,,,,,,,,,4151.95609629685,4151.95609629685,,,,,0.0891832336783409,0,,,,,,,,,,,,,No,unknown
A06,unknown,,voltempl5,,Homame,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.180361047387123,0,19544,0,19544,0,0,0,0,,,,,,,,,6156.22705078125,,,,17.2147745795792,,,,,,,,,,,,,4122.36652258406,4122.36652258406,,,,,0.0824111998081207,0,,,,,,,,,,,,,No,unknown
A07,unknown,,voltempl5,,Homame,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.182641431689262,0,19300,0,19300,0,0,0,0,,,,,,,,,6156.22705078125,,,,17.1327092389009,,,,,,,,,,,,,4109.73367310203,4109.73367310203,,,,,0.0834531262516975,0,,,,,,,,,,,,,No,unknown
B01,STD,,voltempl5,,Homame,858.226867675781,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,17164.537109375,,,875.919677734375,840.796142578125,18519,9590,8929,0,0,0,0,,,,,,,,,6156.22705078125,,,2.89015530414503,4.57434288623228,,,,,,,,,,,,6944.48929650841,4003.13624523367,5526.3057339601,,,,,867.220581054688,849.301391601563,,,,,,,,,,,,,No,STD
B02,unknown,,voltempl5,,Homame,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.222723171114922,0,15827,0,15827,0,0,0,0,,,,,,,,,6156.22705078125,,,,16.2763894590989,,,,,,,,,,,,,3921.29154853245,3921.29154853245,,,,,0.101766467094421,0,,,,,,,,,,,,,No,unknown
B03,unknown,,voltempl5,,Homame,0,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,0,,,0.2054203748703,0,17160,0,17160,0,0,0,0,,,,,,,,,6156.22705078125,,,,16.4006485487501,,,,,,,,,,,,,3975.60780870131,3975.60780870131,,,,,0.0938608646392822,0,,,,,,,,,,,,,No,unknown
