Well,Sampledescription1,Sampledescription2,Sampledescription3,Sampledescription4,Target,Conc(copies/µL),MolecularWeight(pg/µL),Status,StatusReason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,AcceptedDroplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Sample
A01,STD,templvol_5uL,Rhihar,1E5,1,NoCall,,CHECK,DropletCount<1000,DQ,Unknown,Unknown,,FAM,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,STD
A02,STD,templvol_5uL,Hemsan,1E5,1,5932.93505859375,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,118658.703125,,,6294.974609375,5604.54833984375,6972,6927,45,0,0,0,0,,,,,,,,,4486.0869140625,,,4.84158662733173,0.982882276042346,,,,,,,,,,,,7411.93677762289,3674.15039333767,7387.81165035771,,,,,6112.107421875,5762.40966796875,,,,,,,,,,,,,No,STD
A03,STD,templvol_5uL,Calsap,1E5,1,1000000,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10210.2548828125,17606,17606,0,0,0,0,0,,,,,,,,,8673.0390625,,,5.59501460802658,,,,,,,,,,,,,13461.5490793932,,13461.5490793932,,,,,1000000,11131.6630859375,,,,,,,,,,,,,No,STD
A04,STD,templvol_5uL,Erisin,1E5,1,5770.45947265625,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,115409.1875,,,5986.9296875,5587.69775390625,18218,18083,135,0,0,0,0,,,,,,,,,7691.353515625,,,5.81723802962909,8.53821351645402,,,,,,,,,,,,10611.650973414,6006.98104383681,10577.529201513,,,,,5875.92724609375,5673.673828125,,,,,,,,,,,,,No,STD
A05,STD,templvol_5uL,Hemtak,1E5,1,1000000,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10263.4287109375,18420,18420,0,0,0,0,0,,,,,,,,,8772.609375,,,9.04037184161327,,,,,,,,,,,,,12304.9693394366,,12304.9693394366,,,,,1000000,11184.8369140625,,,,,,,,,,,,,No,STD
A06,STD,templvol_5uL,Oncmyk,1E5,1,1000000,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10213.125,17649,17649,0,0,0,0,0,,,,,,,,,2271.40087890625,,,13.0655760083757,,,,,,,,,,,,,5886.96545387332,,5886.96545387332,,,,,1000000,11134.533203125,,,,,,,,,,,,,No,STD
A07,STD,templvol_5uL,Corcas,1E5,1,1000000,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10401.7978515625,20719,20719,0,0,0,0,0,,,,,,,,,3290.30493164063,,,26.2954747297406,,,,,,,,,,,,,8181.37540377058,,8181.37540377058,,,,,1000000,11323.20703125,,,,,,,,,,,,,No,STD
A08,STD,templvol_5uL,Promin,1E5,1,7027.47900390625,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,140549.578125,,,7389.5185546875,6699.091796875,17677,17632,45,0,0,0,0,,,,,,,,,10910.732421875,,,4.16218335030285,9.72390326600668,,,,,,,,,,,,17484.1841479404,8656.31817491319,17461.7112187789,,,,,7206.6513671875,6856.95361328125,,,,,,,,,,,,,No,STD
A09,STD,templvol_5uL,Psefar,1E5,1,1000000,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10320.2197265625,19331,19331,0,0,0,0,0,,,,,,,,,1465.22692871094,,,11.8345998173947,,,,,,,,,,,,,10439.0589305027,,10439.0589305027,,,,,1000000,11241.62890625,,,,,,,,,,,,,No,STD
A10,STD,templvol_5uL,Psever,1E5,1,1000000,,OK,,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10327.138671875,19445,19445,0,0,0,0,0,,,,,,,,,1231.88952636719,,,14.8229497840916,,,,,,,,,,,,,8442.25799209308,,8442.25799209308,,,,,1000000,11248.546875,,,,,,,,,,,,,No,STD
