Well,Sampledescription1,Sampledescription2,Sampledescription3,Sampledescription4,Target,Conc(copies/µL),MolecularWeight(pg/µL),Status,StatusReason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,AcceptedDroplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Sample
A01,Myaare,std2E5,,,1,11511.0859375,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,230221.71875,,,15240.59765625,9671.552734375,17755,17754,1,0,0,0,0,,,,,,,,,2107.78173828125,,,16.5846037448358,,,,,,,,,,,,,8569.53485099859,1130.24450683594,8569.11585407692,,,,,13047.12890625,10438.2841796875,,,,,,,,,,,,,No,Myaare
A02,Myaare,std5E5,,,1,1000000,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,9351.3642578125,8484,8484,0,0,0,0,0,,,,,,,,,2107.78173828125,,,11.5082335119018,,,,,,,,,,,,,8999.61151079882,,8999.61151079882,,,,,1000000,10272.7724609375,,,,,,,,,,,,,No,Myaare
A03,Myaare,std10E5,,,1,1000000,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10259.5263671875,18359,18359,0,0,0,0,0,,,,,,,,,2107.78173828125,,,15.3242069752986,,,,,,,,,,,,,8303.55181488813,,8303.55181488813,,,,,1000000,11180.9345703125,,,,,,,,,,,,,No,Myaare
A04,Promin,std2E5,,,1,5033.30126953125,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,100666.0234375,,,5198.794921875,4888.2421875,15866,15646,220,0,0,0,0,,,,,,,,,4462.93505859375,,,6.03057691760086,9.70366382853685,,,,,,,,,,,,8149.95757592421,3231.23572665128,8081.75394508846,,,,,5114.828125,4957.06005859375,,,,,,,,,,,,,No,Promin
A05,Promin,std5E5,,,1,1000000,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10128.2802734375,16421,16421,0,0,0,0,0,,,,,,,,,4462.93505859375,,,5.70252582835972,,,,,,,,,,,,,8126.50779558069,,8126.50779558069,,,,,1000000,11049.689453125,,,,,,,,,,,,,No,Promin
A06,Promin,std10E5,,,1,1000000,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10155.544921875,16806,16806,0,0,0,0,0,,,,,,,,,4462.93505859375,,,6.37407893062003,,,,,,,,,,,,,8221.61984140709,,8221.61984140709,,,,,1000000,11076.9541015625,,,,,,,,,,,,,No,Promin
A07,Promin,std2E5,,,1,4658.50048828125,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,93170.0078125,,,4784.01513671875,4545.095703125,19299,18931,368,0,0,0,0,,,,,,,,,5111.19482421875,,,6.08280886528469,12.0742712779211,,,,,,,,,,,,9194.16285774965,3787.85907579505,9091.07358930262,,,,,4720.865234375,4599.2763671875,,,,,,,,,,,,,No,Promin
A08,Promin,std5E5,,,1,11483.259765625,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,229665.1875,,,15212.7724609375,9643.7265625,17340,17339,1,0,0,0,0,,,,,,,,,5111.19482421875,,,5.57553027649171,,,,,,,,,,,,,9092.32378073589,4679.6943359375,9092.06930383596,,,,,13019.3037109375,10410.458984375,,,,,,,,,,,,,No,Promin
A09,Promin,std10E5,,,1,1000000,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,20000000,,,1000000,10049.6220703125,15359,15359,0,0,0,0,0,,,,,,,,,5111.19482421875,,,6.36890486073604,,,,,,,,,,,,,8967.94729201171,,8967.94729201171,,,,,1000000,10971.03125,,,,,,,,,,,,,No,Promin
B01,Myaare,std2E4,,,1,1086.95263671875,,Manual,DropletsAnalyzedManually,DQ,Unknown,Unknown,ddPCRSupermixforProbes(NodUTP),FAM,21739.052734375,,,1108.33874511719,1065.94836425781,17984,10845,7139,0,0,0,0,,,,,,,,,2107.78173828125,,,11.7267954065179,22.5446506560498,,,,,,,,,,,,8178.55330171774,1179.62458271412,5400.23078587216,,,,,1097.8154296875,1076.18933105469,,,,,,,,,,,,,No,Myaare
