"Well";"replno";"smpltp";"templvol";"QtyID";"WellType";"Replicate";"ThresholddRn";"CtdRn";"Quantitycopies";"RSqdRn";"SlopedRn";"qpcrno";"MONISprojectno";"AssayID";"speciesabbr";"plateno";"qpcrrundate";"smplNo";"smplNo02";"Unikt.prøvesæt.nummer";"Noter.på.plastic.posen";"Konc.målt.på.Qubit._ng.uL";"Dato.for.ekstraktion";"Ekstraktionsnummer";"Noter2";"Elueringvolumen.AE.buffer.uL";"Sub_Nmb_for_extraction";"Dato_for_indsml";"X.Noter2";"U_Pr_Nr";"MSTno_di";"wdt";"Navn_Inds";"skib";"Inst";"Dato_inds";"Lok_omr01";"lokalitet_vanda";"lok_pos_lat";"lok_pos_lon";"max_Dyb";"Dyb_Str_m";"Vwf_mL";"vandsoejllagd";"Dyb_lagd01";"dato_80C";"Temp_Inds";"Bemaerkn";"MST.n_Dinds";"MST.nummer";"MST_STEXno";"smplNoSTEX"
"A4";"9";"MST0003";"3uL";"QtyorID";"Unknown";"9";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0003";"MST0003";"20170830-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"1";"2017-08-30";NA;"MST0003";"MST0003::2017-08-30";FALSE;"Alex_Kristensen";"Daphne";"MST_Fyn";"2017-08-30";"DMU_444_Arkona";"99000052";54.999617;13.299867;50;1;"1500";"yes";"25.0";"30/08/2017";18.7;NA;"MST0003_2017-08-30";"MST0003";"MST0003STEX1";NA
"A5";"9";"MST0003";"3uL";"QtyorID";"Unknown";"9";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0003";"MST0003";"20170830-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"1";"2017-08-30";NA;"MST0003";"MST0003::2017-08-30";FALSE;"Alex_Kristensen";"Daphne";"MST_Fyn";"2017-08-30";"DMU_444_Arkona";"99000052";54.999617;13.299867;50;1;"1500";"yes";"25.0";"30/08/2017";18.7;NA;"MST0003_2017-08-30";"MST0003";"MST0003STEX1";NA
"A6";"9";"MST0003";"3uL";"QtyorID";"Unknown";"9";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0003";"MST0003";"20170830-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"1";"2017-08-30";NA;"MST0003";"MST0003::2017-08-30";FALSE;"Alex_Kristensen";"Daphne";"MST_Fyn";"2017-08-30";"DMU_444_Arkona";"99000052";54.999617;13.299867;50;1;"1500";"yes";"25.0";"30/08/2017";18.7;NA;"MST0003_2017-08-30";"MST0003";"MST0003STEX1";NA
"B4";"10";"MST0012";"3uL";"QtyorID";"Unknown";"10";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0012";"MST0012";"20170829-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"2";"2017-08-29";NA;"MST0012";"MST0012::2017-08-29";FALSE;"Alex_Kristensen";"Daphne";"MST_Sjaelland";"2017-08-29";"VSJ20925";"93000001";56.132217;11.157867;49;1;"1100";"yes";"12.0";"29/08/2017";17.8;NA;"MST0012_2017-08-29";"MST0012";"MST0012STEX2";NA
"B5";"10";"MST0012";"3uL";"QtyorID";"Unknown";"10";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0012";"MST0012";"20170829-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"2";"2017-08-29";NA;"MST0012";"MST0012::2017-08-29";FALSE;"Alex_Kristensen";"Daphne";"MST_Sjaelland";"2017-08-29";"VSJ20925";"93000001";56.132217;11.157867;49;1;"1100";"yes";"12.0";"29/08/2017";17.8;NA;"MST0012_2017-08-29";"MST0012";"MST0012STEX2";NA
"B6";"10";"MST0012";"3uL";"QtyorID";"Unknown";"10";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0012";"MST0012";"20170829-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"2";"2017-08-29";NA;"MST0012";"MST0012::2017-08-29";FALSE;"Alex_Kristensen";"Daphne";"MST_Sjaelland";"2017-08-29";"VSJ20925";"93000001";56.132217;11.157867;49;1;"1100";"yes";"12.0";"29/08/2017";17.8;NA;"MST0012_2017-08-29";"MST0012";"MST0012STEX2";NA
"C4";"11";"MST0019";"3uL";"QtyorID";"Unknown";"11";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0019";"MST0019";"20170912-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"3";"2017-09-12";NA;"MST0019";"MST0019::2017-09-12";FALSE;"geped";"Limgrim";"Midtjylland";"2017-09-12";"VIB_3727_00001";"93740007";56.622167;9.075833;5.6;1;"710";"yes";"4.0";"18/09/2017";15.7;NA;"MST0019_2017-09-12";"MST0019";"MST0019STEX3";NA
"C5";"11";"MST0019";"3uL";"QtyorID";"Unknown";"11";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0019";"MST0019";"20170912-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"3";"2017-09-12";NA;"MST0019";"MST0019::2017-09-12";FALSE;"geped";"Limgrim";"Midtjylland";"2017-09-12";"VIB_3727_00001";"93740007";56.622167;9.075833;5.6;1;"710";"yes";"4.0";"18/09/2017";15.7;NA;"MST0019_2017-09-12";"MST0019";"MST0019STEX3";NA
"C6";"11";"MST0019";"3uL";"QtyorID";"Unknown";"11";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0019";"MST0019";"20170912-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"3";"2017-09-12";NA;"MST0019";"MST0019::2017-09-12";FALSE;"geped";"Limgrim";"Midtjylland";"2017-09-12";"VIB_3727_00001";"93740007";56.622167;9.075833;5.6;1;"710";"yes";"4.0";"18/09/2017";15.7;NA;"MST0019_2017-09-12";"MST0019";"MST0019STEX3";NA
"D4";"12";"MST0029";"3uL";"QtyorID";"Unknown";"12";"0.1000";"NoCt";"NoCt";"0.996";"-3.467";"qpcr0652";"MONIS5";"AssID12";"Cragig";"plt01";"qpcrrundate20181219";"MST0029";"MST0029";"20170925-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No2";"350";NA;"2017-09-25";NA;"MST0029";"MST0029::2017-09-25";FALSE;"JAROB_20629477";"LIV_II";"Fyn";"2017-09-25";"FYN6300043_Sydlige_Lillebaelt";"95600002";54.997667;10.160333;35.6;1;"1400";"yes";"5.0";"25/09/2017";15.5;NA;"MST0029_2017-09-25";"MST0029";"MST0029STEXNA";NA
