"","Well","replno","smpltp","templvol","QtyID","WellType","Replicate","ThresholddRn","CtdRn","Quantitycopies","RSqdRn","SlopedRn","qpcrno","MONISprojectno","AssayID","speciesabbr","plateno","qpcrrundate","Cq","gen_specnm","Genus","species","dk_comnm","smpltp2","MST.y.m","ssn","Wellname.ssn.no1","gen_specnm.ssn","locnm","colldate","volfilt_mL","declat","declon","Welltype","Harbour","Harbour.Welltype","col.06","qpcr.rplno","welltp","qpcrno.plateno","spec.lat","mx.Cq.lod","intc5","lod.val","loq.val","rEffic","ampF","intc2","slo3","RSqdRn.1","templvol","copies_per_mLwater","copies_per_Lwater","copies_per_Lwater_plone","log.10_copies_L"
"1","A1",1,"std3E5","3uL","QtyorID","Standard",1,0.0618,24.82,3e+05,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","24.82","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E5",NA,NA,"A1.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.1","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"2","A2",1,"std3E5","3uL","QtyorID","Standard",1,0.0618,24.83,3e+05,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","24.83","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E5",NA,NA,"A2.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.1","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"3","A3",1,"std3E5","3uL","QtyorID","Standard",1,0.0618,25.24,3e+05,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","25.24","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E5",NA,NA,"A3.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.1","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"4","B1",2,"std3E4","3uL","QtyorID","Standard",2,0.0618,28.91,30000,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","28.91","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E4",NA,NA,"B1.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.2","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"5","B2",2,"std3E4","3uL","QtyorID","Standard",2,0.0618,28.82,30000,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","28.82","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E4",NA,NA,"B2.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.2","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"6","B3",2,"std3E4","3uL","QtyorID","Standard",2,0.0618,28.69,30000,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","28.69","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E4",NA,NA,"B3.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.2","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"7","C1",3,"std3E3","3uL","QtyorID","Standard",3,0.0618,32.2,3000,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","32.20","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E3",NA,NA,"C1.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.3","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"8","C2",3,"std3E3","3uL","QtyorID","Standard",3,0.0618,31.91,3000,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","31.91","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E3",NA,NA,"C2.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.3","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"9","C3",3,"std3E3","3uL","QtyorID","Standard",3,0.0618,32.03,3000,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","32.03","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E3",NA,NA,"C3.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.3","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
"10","D1",4,"std3E2","3uL","QtyorID","Standard",4,0.0618,35.84,300,0.991,-3.427,"qpcr925","MONIS6","assid05","Karmik","plt01","qpcrrundate20220420","35.84","Karenia mikimotoi","Karenia","mikimotoi","dinoflagelat","std3E2",NA,NA,"D1.NA.1","Karenia_mikimotoi.NA",NA,NA,NA,NA,NA,"Standard",NA,"NA.Standard","#00000000","qpcr925.4","Standard","qpcr925.plt01","Karenia mikimotoi","42.38","42.36","3","30","95.81","1.95812244918798","43.9943980020742","-3.43","99.557","uL",NA,0,1,0
