speciesabbr,smplNm,U_Pr_Nr,GnNm,SpNm,ClNm,PhNm,speciesNm,lokalitet_vanda,lon,lat,Lok_omr01,Dato_inds,typCnt,mch,molcnt,Dato_inds.dd,Dato_inds.mm,Dato_inds.yy,ssn.smpl,mch.ssn,eDN.lv1.l10
Bonham,MST1022,MST1022,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94400007,10.3170055555556,56.1547333333333,ARH1700006_94400007,2021-05-17,mcp,ddPCR,0,17,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1022,MST1022,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,94400007,10.3170055555556,56.1547333333333,ARH1700006_94400007,2021-05-17,mcp,qPCR,0,17,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST1024,MST1024,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93770056,8.400225,56.6008333333333,NissumBredning,2021-04-15,mcp,ddPCR,0,15,4,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1024,MST1024,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93770056,8.400225,56.6008333333333,NissumBredning,2021-04-15,mcp,qPCR,0,15,4,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST1027,MST1027,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,96510125,10.3685111111111,55.0262,Sydfynskeoehav_BF11,2021-03-19,mcp,ddPCR,0,19,3,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1027,MST1027,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,96510125,10.3685111111111,55.0262,Sydfynskeoehav_BF11,2021-03-19,mcp,qPCR,0,19,3,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST1028,MST1028,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95700008,9.81666666666667,54.8341666666667,FFSB0011,2021-03-15,mcp,ddPCR,0,15,3,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1028,MST1028,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95700008,9.81666666666667,54.8341666666667,FFSB0011,2021-03-15,mcp,qPCR,0,15,3,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST1031,MST1031,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93210013,11.7835111111111,55.8656666666667,Isefjordydre,2021-03-17,mcp,ddPCR,0,17,3,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1031,MST1031,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93210013,11.7835111111111,55.8656666666667,Isefjordydre,2021-03-17,mcp,qPCR,0,17,3,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST1038,MST1038,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95220322,11.5002361111111,55.1395,BFKarrebaeksmindeBugt,2021-04-14,mcp,ddPCR,0,14,4,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1038,MST1038,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,95220322,11.5002361111111,55.1395,BFKarrebaeksmindeBugt,2021-04-14,mcp,qPCR,0,14,4,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST1039,MST1039,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91320001,8.21670555555556,56.0778333333333,RKB1,2021-04-26,mcp,ddPCR,0,26,4,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1039,MST1039,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,91320001,8.21670555555556,56.0778333333333,RKB1,2021-04-26,mcp,qPCR,0,26,4,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST1043,MST1043,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93500119,10.3204,56.6261666666667,Hevringbugt,2021-04-06,mcp,ddPCR,0,6,4,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1043,MST1043,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93500119,10.3204,56.6261666666667,Hevringbugt,2021-04-06,mcp,qPCR,0,6,4,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST1054,MST1054,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99000052,13.3,55,DMU444_Arkona,2021-05-18,mcp,ddPCR,0,18,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST1054,MST1054,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99000052,13.3,55,DMU444_Arkona,2021-05-18,mcp,qPCR,0,18,5,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-005,MST2021005,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93220011,12.04,55.713,ROS60_322RoskildeFjord,2021-06-01,mcp,ddPCR,0,1,6,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-005,MST2021005,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,93220011,12.04,55.713,ROS60_322RoskildeFjord,2021-06-01,mcp,qPCR,0,1,6,2021,2nd_season,qPCR : 2nd_season,0
Bonham,MST2021-006,MST2021006,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99210007,12.0851805555556,54.7410833333333,1001027Hovedeskov,2021-08-24,mcp,ddPCR,0,24,8,2021,1st_season,ddPCR : 1st_season,0
Bonham,MST2021-006,MST2021006,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,99210007,12.0851805555556,54.7410833333333,1001027Hovedeskov,2021-08-24,mcp,qPCR,0,24,8,2021,1st_season,qPCR : 1st_season,0
Bonham,MST2021-008,MST2021008,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,97200002,12.75,55.8666666666667,KBH431_Ven,2021-05-19,mcp,ddPCR,0,19,5,2021,2nd_season,ddPCR : 2nd_season,0
Bonham,MST2021-008,MST2021008,Bonnemaisonia,hamifera,Florideophyceae,Rhodophyta,B. hamifera,97200002,12.75,55.8666666666667,KBH431_Ven,2021-05-19,mcp,qPCR,0,19,5,2021,2nd_season,qPCR : 2nd_season,0
