"","speciesabbr","smplNm.x","U_Pr_Nr.x","GnNm.x","SpNm.x","ClNm.x","PhNm.x","speciesNm.x","lokalitet_vanda.x","lon.x","lat.x","Lok_omr01.x","Dato_inds.x","typCnt","mch","molcnt","Dato_inds.dd","Dato_inds.mm","Dato_inds.yy","ssn.smpl","mch.ssn","eDN.lv1.l10","snpb","lon.m","lat.m","uspcAb","MST.n_Dinds","U_Pr_Nr.y","Navn_Inds","skib","Inst","Dato_inds.y","Lok_omr01.y","lokalitet_vanda.y","lok_pos_lat.x","lok_pos_lon.x","max_Dyb","Dyb_Str_m","Vwf_mL","vandsoejllagd","Dyb_lagd01","dato_80C","Temp_Inds","Bemaerkn","MST.nummer.x","smplNm.y","ddlod","qlod","qloq","qloq.unmf","mcp_ddPCR","mcp_qPCR","sdmn_ddPCR","sdmn_qPCR","sdmx_ddPCR","sdmx_qPCR","GnNm.y","SpNm.y","GnNmLt","speciesNm.y","smplTp","ClNm.y","PhNm.y","U_Pr_Nr","Dato_inds","lokalitet_vanda","lok_pos_lat.y","lok_pos_lon.y","Lok_omr01","lat.y","lon.y","MST.nummer.y","Unikt.prøvesæt.nummer","Noter.på.plastic.posen","Konc.målt.på.Qubit._ng.uL","Dato.for.ekstraktion","Ekstraktionsnummer","Noter2","Elueringvolumen.AE.buffer.uL","Sub_Nmb_for_extraction","Dato_for_indsml","X.Noter2","U_Pr_Nr.y.y","MSTno_di"
"1","Bonham","MST2021-064","MST2021064","Bonnemaisonia","hamifera","Florideophyceae","Rhodophyta","B. hamifera",93730002,9.05020833333333,56.954,"93730002_VIB3708_1","2021-09-02","mcp","ddPCR",0.290651619434357,2,9,2021,"1st_season","ddPCR : 1st_season",0.110809030666652,1,8.65020833333333,56.794,"Bonham","MST2021064_2021-09-02","MST2021064","kristianmcgregor","Frigg","MSTNJL","2021-09-02","93730002_VIB3708_1",93730002,"56.954","9.05020833333333","76","1","700","nej","na","2021-09-08","173.7","Breddegrad:56572400","MST2021064","MST2021-064",0.602823607623575,3,3,3,0.290651619434357,0,0.078765172511339,0,0.723458528518675,0,"Bonnemaisonia","hamifera","B","B. hamifera","MST","Florideophyceae","Rhodophyta","MST2021064","2021-09-02",93730002,"56.954","9.05020833333333","93730002_VIB3708_1",56.954,9.05020833333333,"MST2021-064","15","'02.09.2021, Fytoplankton, 02.09.2021, NJL","2.96","2021-nov-24","MST-SX21",NA,"400","21_15","2021-09-02",NA,"MST2021064","MST2021064::2021-09-02"
"2","Bonham","MST2021-088","MST2021088","Bonnemaisonia","hamifera","Florideophyceae","Rhodophyta","B. hamifera",96700057,10.8276944444444,55.4392166666667,"KertemindeBugt","2021-05-20","mcp","ddPCR",0.672730207443235,20,5,2021,"2nd_season","ddPCR : 2nd_season",0.223425899798493,1,10.4276944444444,55.2792166666667,"Bonham","MST2021088_2021-05-20","MST2021088","janeRobertsen","Frigg","MSTFYN","2021-05-20","KertemindeBugt",96700057,"55.4392166666667","10.8276944444444","198","188","1600","ja","75","2021-05-21","73.7",NA,"MST2021088","MST2021-088",0.602823607623575,3,3,3,0.672730207443235,0.679366666666667,0.291955452412367,0.26125124799219,1.29339203238487,1.09748208534114,"Bonnemaisonia","hamifera","B","B. hamifera","MST","Florideophyceae","Rhodophyta","MST2021088","2021-05-20",96700057,"55.4392166666667","10.8276944444444","KertemindeBugt",55.4392166666667,10.8276944444444,"MST2021-088","3","BF Kerteminde bugt, 20/5-2021, Jarob","16.5","2022-feb-01","MST-SX25",NA,"400","25_03","2021-05-20",NA,"MST2021088","MST2021088::2021-05-20"
"3","Bonham","MST2021-088","MST2021088","Bonnemaisonia","hamifera","Florideophyceae","Rhodophyta","B. hamifera",96700057,10.8276944444444,55.4392166666667,"KertemindeBugt","2021-05-20","mcp","qPCR",0.679366666666667,20,5,2021,"2nd_season","qPCR : 2nd_season",0.225145528731669,1,10.4276944444444,55.2792166666667,"Bonham","MST2021088_2021-05-20","MST2021088","janeRobertsen","Frigg","MSTFYN","2021-05-20","KertemindeBugt",96700057,"55.4392166666667","10.8276944444444","198","188","1600","ja","75","2021-05-21","73.7",NA,"MST2021088","MST2021-088",0.602823607623575,3,3,3,0.672730207443235,0.679366666666667,0.291955452412367,0.26125124799219,1.29339203238487,1.09748208534114,"Bonnemaisonia","hamifera","B","B. hamifera","MST","Florideophyceae","Rhodophyta","MST2021088","2021-05-20",96700057,"55.4392166666667","10.8276944444444","KertemindeBugt",55.4392166666667,10.8276944444444,"MST2021-088","3","BF Kerteminde bugt, 20/5-2021, Jarob","16.5","2022-feb-01","MST-SX25",NA,"400","25_03","2021-05-20",NA,"MST2021088","MST2021088::2021-05-20"
"4","Calsap","MST2021-019","MST2021019","Callinectes","sapidus","Malacostraca","Arthropoda","C. sapidus",93000005,10.7834722222222,56.8566666666667,"NOR409_aalborgBugt","2021-05-25","mcp","ddPCR",0.72056755423546,25,5,2021,"2nd_season","ddPCR : 2nd_season",0.235671728892856,2,10.5434722222222,56.7766666666667,"Calsap","MST2021019_2021-05-25","MST2021019","ALKRI_NICRA","Sif","MST_NJL","2021-05-25","NOR409_aalborgBugt",93000005,"56.8566666666667","10.7834722222222","146","1","1650","ja","11m","2021-05-31","88",NA,"MST2021019","MST2021-019",6.69409215450285,3,3,3,0.72056755423546,0,0.312715470790863,0,1.38536930084228,0,"Callinectes","sapidus","C","C. sapidus","MST","Malacostraca","Arthropoda","MST2021019","2021-05-25",93000005,"56.8566666666667","10.7834722222222","NOR409_aalborgBugt",56.8566666666667,10.7834722222222,"MST2021-019","21","NOR409, plankton, 12.05.21","3.86","2022-jan-11","MST-SX24",NA,"400","24_21","2021-05-25",NA,"MST2021019","MST2021019::2021-05-25"
"5","Calsap","MST2021-019","MST2021019","Callinectes","sapidus","Malacostraca","Arthropoda","C. sapidus",93000005,10.7834722222222,56.8566666666667,"NOR409_aalborgBugt","2021-05-25","mcp","ddPCR",0.72056755423546,25,5,2021,"2nd_season","ddPCR : 2nd_season",0.235671728892856,2,10.5434722222222,56.7766666666667,"Calsap","MST2021019_2021-05-25","MST2021019","ALKRI_NICRA","Sif","MST_NJL","2021-05-25","NOR409_aalborgBugt",93000005,"56.8566666666667","10.7834722222222","146","1","1650","ja","11m","2021-05-31","88",NA,"MST2021019","MST2021-019",6.69409215450285,3,3,3,0.72056755423546,0,0.312715470790863,0,1.38536930084228,0,"Callinectes","sapidus","C","C. sapidus","MST","Malacostraca","Arthropoda","MST2021019","2021-05-25",93000005,"56.8566666666667","10.7834722222222","NOR409_aalborgBugt",56.8566666666667,10.7834722222222,"MST2021-019","6",NA,"4.94","'2023-jan24","MST-SX26",NA,"400","26_06","2022-04-29",NA,"MST2021019","MST2021019::2022-04-29"
"6","Calsap","MST2021-079","MST2021079","Callinectes","sapidus","Malacostraca","Arthropoda","C. sapidus",93740007,9.06681944444444,56.6208333333333,"93740007_VIB3727_1","2021-09-06","mcp","ddPCR",0.395944714546204,6,9,2021,"1st_season","ddPCR : 1st_season",0.144868218686168,2,8.82681944444444,56.5408333333333,"Calsap","MST2021079_2021-09-06","MST2021079","RasmusBillegrav","Frigg","MSTMJL","2021-09-06","93740007_VIB3727_1",93740007,"56.6208333333333","9.06681944444444","51","1","1100","ja","2","2021-09-08","173.5",NA,"MST2021079","MST2021-079",6.69409215450285,3,3,3,0.395944714546204,0,0.107298381626606,0,0.98555587232113,0,"Callinectes","sapidus","C","C. sapidus","MST","Malacostraca","Arthropoda","MST2021079","2021-09-06",93740007,"56.6208333333333","9.06681944444444","93740007_VIB3727_1",56.6208333333333,9.06681944444444,"MST2021-079","21","Fytoplankton, 06.09.2021, 93740007","7.6","2021-nov-24","MST-SX21",NA,"400","21_21","2021-09-06",NA,"MST2021079","MST2021079::2021-09-06"
"7","Caraur","MST1043","MST1043","Carassius","auratus","Actinopterygii","Chordata","C. auratus",93500119,10.3204,56.6261666666667,"Hevringbugt","2021-04-06","mcp","ddPCR",0.315924324095249,6,4,2021,"2nd_season","ddPCR : 2nd_season",0.119230914678512,3,10.2404,56.6261666666667,"Caraur","MST1043_2021-04-06","MST1043","JOCTH","Musling","MSTOJL","2021-04-06","Hevringbugt",93500119,"56.6261666666667","10.3204","12","11","1500","nej",NA,"2021-04-12","64.3",NA,"MST1043","MST1043",3.49066555500031,300,0,30,0.315924324095249,0,0.085613811388612,0,0.786367058753965,0,"Carassius","auratus","C","C. auratus","MST","Actinopterygii","Chordata","MST1043","2021-04-06",93500119,"56.6261666666667","10.3204","Hevringbugt",56.6261666666667,10.3204,"MST1043","2","Bundfauna, Herning bugt, 06.04.2021, Jocth, Musling, 12.04.2021","3.06","2022-jan-06","MST-SX23",NA,"400","23_02","2021-04-06",NA,"MST1043","MST1043::2021-04-06"
"8","Caraur","MST2021-049","MST2021049","Carassius","auratus","Actinopterygii","Chordata","C. auratus",91650035,8.56828611111111,55.0938666666667,"ListerDyb","2021-05-21","mcp","ddPCR",0.29784819111228,21,5,2021,"2nd_season","ddPCR : 2nd_season",0.113223896148494,3,8.48828611111111,55.0938666666667,"Caraur","MST2021049_2021-05-21","MST2021049","LasseoerstedJensen","Fucus","Sydjylland","2021-05-21","ListerDyb",91650035,"55.0938666666667","8.56828611111111","11","10","500","nej",NA,"2021-05-21","11","LISD0027","MST2021049","MST2021-049",3.49066555500031,300,0,30,0.29784819111228,0,0.0807153712958095,0,0.741372108459475,0,"Carassius","auratus","C","C. auratus","MST","Actinopterygii","Chordata","MST2021049","2021-05-21",91650035,"55.0938666666667","8.56828611111111","ListerDyb",55.0938666666667,8.56828611111111,"MST2021-049","10","LISD0027; 21-5-21","7.75","2022-jan-06","MST-SX23",NA,"400","23_10","2021-05-21",NA,"MST2021049","MST2021049::2021-05-21"
"9","Caraur","MST2021-079","MST2021079","Carassius","auratus","Actinopterygii","Chordata","C. auratus",93740007,9.06681944444444,56.6208333333333,"93740007_VIB3727_1","2021-09-06","mcp","ddPCR",0.330999232828617,6,9,2021,"1st_season","ddPCR : 1st_season",0.124177805152816,3,8.98681944444444,56.6208333333333,"Caraur","MST2021079_2021-09-06","MST2021079","RasmusBillegrav","Frigg","MSTMJL","2021-09-06","93740007_VIB3727_1",93740007,"56.6208333333333","9.06681944444444","51","1","1100","ja","2","2021-09-08","173.5",NA,"MST2021079","MST2021-079",3.49066555500031,300,0,30,0.330999232828617,0,0.0896989554166795,0,0.82389160990715,0,"Carassius","auratus","C","C. auratus","MST","Actinopterygii","Chordata","MST2021079","2021-09-06",93740007,"56.6208333333333","9.06681944444444","93740007_VIB3727_1",56.6208333333333,9.06681944444444,"MST2021-079","21","Fytoplankton, 06.09.2021, 93740007","7.6","2021-nov-24","MST-SX21",NA,"400","21_21","2021-09-06",NA,"MST2021079","MST2021079::2021-09-06"
"10","Colper","MST1039","MST1039","Colpomenia","peregrine","Phaeophyceae","Ochrophyta","C. peregrine",91320001,8.21670555555556,56.0778333333333,"RKB1","2021-04-26","mcp","ddPCR",0.361734926700592,26,4,2021,"2nd_season","ddPCR : 2nd_season",0.134092576684668,4,8.29670555555556,56.1578333333333,"Colper","MST1039_2021-04-26","MST1039","JettePoulsenEngholm","Penelope","MST_MJL","2021-04-26","RKB1",91320001,"56.0778333333333","8.21670555555556","32","1","570","nej","na","2021-05-03","95",NA,"MST1039","MST1039",1.05264455080033,30,0,3,0.361734926700592,0,0.0980279687792065,0,0.9003996104002,0,"Colpomenia","peregrine","C","C. peregrine","MST","Phaeophyceae","Ochrophyta","MST1039","2021-04-26",91320001,"56.0778333333333","8.21670555555556","RKB1",56.0778333333333,8.21670555555556,"MST1039","19","Fytoplankton, 26.04.21, RKB1","13.6","2022-feb-01","MST-SX25",NA,"400","25_19","2021-04-26",NA,"MST1039","MST1039::2021-04-26"
