Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Hemtak,
2033,685,360,2306,0,
2006,084,286,0699,0,
1985,848,316,2869,0,
1888,786,357,5189,0,
2060,956,353,9459,0,
2014,016,365,2631,0,
2094,295,373,7263,0,
1920,479,391,2975,0,
1927,509,324,3189,0,
2087,965,337,0331,0,
2045,702,326,2158,0,
1990,5,350,8932,0,
1928,846,415,1398,0,
1844,34,329,4595,0,
2019,447,320,317,0,
2110,012,315,1791,0,
1992,702,392,6777,0,
2053,698,421,6741,0,
2067,134,391,307,0,
1928,053,330,8668,0,
2119,29,338,817,0,
1953,896,352,3192,0,
2050,516,364,7664,0,
1993,555,368,0425,0,
2022,55,332,2917,0,
1918,793,383,2594,0,
2009,299,379,9515,0,
2012,17,370,1221,0,
1935,855,346,2493,0,
2060,008,463,509,0,
2059,542,340,3618,0,
2006,472,351,8738,0,
1978,088,378,1513,0,
1935,528,393,3757,0,
1988,026,386,9078,0,
1963,166,316,7107,0,
1988,391,369,217,0,
1954,651,427,6334,0,
1902,82,318,0884,0,
2006,308,411,0159,0,
2026,71,396,2784,0,
1920,183,386,8203,0,
1849,67,362,063,0,
1978,413,408,5466,0,
1913,511,363,5258,0,
1973,911,323,225,0,
2067,318,352,9977,0,
2004,486,370,0159,0,
2072,892,364,9917,0,
1953,991,393,4481,0,
2000,166,368,1456,0,
1962,652,411,8016,0,
2043,471,398,4004,0,
2018,806,335,6918,0,
1920,577,451,5574,0,
1981,15,405,2953,0,
1929,514,435,2631,0,
2019,543,391,3225,0,
2041,247,339,5608,0,
1983,658,396,8959,0,
1914,3,357,1131,0,
2104,801,310,6251,0,
1946,031,321,9285,0,
1908,56,358,277,0,
2068,599,386,3391,0,
2011,641,456,7294,0,
1985,34,392,4247,0,
2117,41,321,7194,0,
1955,793,403,6509,0,
1943,583,353,1188,0,
2038,741,324,5042,0,
1902,682,282,3216,0,
2011,393,364,3284,0,
2028,071,318,0569,0,
1944,557,373,222,0,
2009,707,376,205,0,
2018,626,281,9805,0,
1938,91,365,1432,0,
1722,267,317,3553,0,
2079,514,323,0565,0,
2081,84,355,0442,0,
2039,158,449,6151,0,
1928,996,373,6168,0,
1964,526,367,362,0,
1940,707,315,8524,0,
2085,795,286,2917,0,
1909,468,296,3439,0,
2039,818,356,1982,0,
1943,173,362,9652,0,
1948,759,373,9961,0,
1889,562,304,0018,0,
2047,427,384,2311,0,
1923,687,398,3711,0,
1975,836,394,5871,0,
2068,071,418,7159,0,
1849,51,395,9196,0,
1884,226,346,7182,0,
2005,626,316,2841,0,
2148,951,341,0293,0,
2023,422,387,3342,0,
1981,081,326,8354,0,
2058,679,395,7386,0,
1997,753,368,4763,0,
1780,32,345,4075,0,
2041,004,348,9606,0,
1852,171,378,0664,0,
2133,961,284,0289,0,
1982,979,351,7959,0,
1980,358,349,4702,0,
1984,683,379,5449,0,
2028,502,299,0636,0,
1863,658,346,8561,0,
1962,738,388,3554,0,
1997,229,378,9841,0,
1830,581,355,2338,0,
2060,752,297,439,0,
1883,406,331,7546,0,
1874,966,396,4671,0,
1911,395,386,6943,0,
1970,271,290,926,0,
1922,687,379,7731,0,
1990,944,395,2603,0,
2008,808,343,1077,0,
1966,427,342,9574,0,
1949,723,371,8242,0,
1934,598,380,9902,0,
1920,105,409,6967,0,
1910,071,376,097,0,
1972,707,392,2249,0,
1931,63,411,0818,0,
2017,37,343,2311,0,
1995,707,316,4363,0,
2022,587,424,5782,0,
1919,94,302,9904,0,
2090,544,360,8407,0,
1868,436,363,7073,0,
1926,148,406,1085,0,
1854,477,283,9741,0,
1944,27,372,6373,0,
1972,895,328,8018,0,
2009,849,353,5367,0,
1964,802,334,7889,0,
2013,827,370,9335,0,
2060,068,345,7006,0,
2086,31,392,5442,0,
1975,335,397,201,0,
2064,236,246,4556,0,
2070,49,342,9865,0,
1884,583,349,7627,0,
1976,716,319,4435,0,
2036,791,379,4712,0,
2012,236,368,8436,0,
2092,278,305,6791,0,
1849,449,379,0084,0,
2078,898,303,4978,0,
2119,902,359,3883,0,
2010,883,355,0542,0,
2025,992,329,1198,0,
1717,226,340,6791,0,
2084,785,351,6412,0,
1928,179,344,4622,0,
1953,812,410,9446,0,
1979,821,400,9278,0,
1881,671,333,6115,0,
1931,436,417,1701,0,
2043,026,361,2046,0,
1957,136,371,1202,0,
2026,869,308,7157,0,
2048,095,341,6639,0,
1968,923,337,0201,0,
2021,419,338,907,0,
2013,719,368,7954,0,
2023,661,278,9236,0,
1964,375,358,3186,0,
1940,738,372,7714,0,
2087,832,384,9792,0,
1997,034,332,7031,0,
1930,359,405,6766,0,
1954,969,317,9092,0,
1989,446,351,3413,0,
1903,282,411,0842,0,
1953,156,356,8474,0,
2059,606,334,9315,0,
1986,71,365,9611,0,
1957,68,439,512,0,
1930,965,376,9313,0,
1904,529,369,3663,0,
2125,524,371,6522,0,
2060,483,316,2449,0,
1979,044,390,4575,0,
1956,666,357,5345,0,
1818,569,351,4362,0,
2013,49,360,1599,0,
2054,894,319,5835,0,
1771,73,317,8794,0,
2091,461,420,9998,0,
2012,255,351,7739,0,
1930,972,334,8475,0,
1918,062,385,1213,0,
1880,153,401,1863,0,
1903,139,491,8849,0,
2028,706,313,2986,0,
1960,727,394,0453,0,
1951,453,310,4642,0,
2028,056,319,6968,0,
2029,931,389,3813,0,
1975,766,437,1022,0,
2044,498,455,0646,0,
2002,074,325,1172,0,
2028,221,448,2448,0,
1998,938,418,86,0,
2037,264,338,7552,0,
2034,646,371,4546,0,
1911,92,390,413,0,
1689,736,280,1132,0,
2077,876,384,8269,0,
1968,552,338,5682,0,
1926,402,381,911,0,
1921,547,337,121,0,
2042,7,344,4247,0,
2024,284,309,0874,0,
2096,656,406,0742,0,
2021,078,348,4835,0,
1967,55,501,3563,0,
2079,124,381,3274,0,
1952,541,355,4604,0,
2079,864,335,0992,0,
1922,103,430,0651,0,
1962,39,441,8295,0,
1999,864,306,8871,0,
1852,782,363,5256,0,
2037,838,355,6295,0,
2024,998,420,9747,0,
1981,315,310,6515,0,
1982,07,370,4481,0,
1896,691,409,2268,0,
2035,391,333,6936,0,
2007,269,464,3813,0,
1929,35,310,8223,0,
1747,396,379,0393,0,
1995,008,397,6623,0,
2024,102,390,6324,0,
1945,508,409,3906,0,
1800,373,231,46,0,
2006,183,435,1823,0,
2088,225,360,8442,0,
1988,85,421,965,0,
1939,813,361,9365,0,
1947,249,375,6555,0,
1974,686,373,1903,0,
2093,387,389,1512,0,
1867,463,378,1337,0,
1973,461,318,7317,0,
1992,292,431,8909,0,
1908,317,329,8171,0,
1861,351,344,5107,0,
2081,604,403,0726,0,
2043,661,318,2279,0,
1974,127,345,7518,0,
2108,671,347,6102,0,
2003,23,397,6746,0,
1974,639,447,4386,0,
2080,779,318,0707,0,
1995,592,381,3682,0,
1920,763,308,8469,0,
1955,998,331,2383,0,
2084,396,366,0006,0,
1992,876,327,1342,0,
1945,256,384,7617,0,
1794,74,404,4905,0,
1911,122,448,0822,0,
2065,813,362,9746,0,
2073,698,330,2795,0,
1962,198,368,2217,0,
2018,317,351,2551,0,
1961,305,363,8017,0,
1986,864,390,3489,0,
2027,501,387,6122,0,
1855,927,387,2423,0,
1973,472,387,8331,0,
2123,843,334,2988,0,
1927,844,326,9225,0,
1886,14,397,191,0,
1969,947,339,9124,0,
2120,669,296,8274,0,
2011,723,405,5803,0,
2001,795,396,5655,0,
1995,756,399,6849,0,
1834,937,265,6808,0,
2010,903,374,1185,0,
2013,164,415,5227,0,
1910,274,259,5229,0,
1920,672,381,9028,0,
1931,151,426,7246,0,
1975,819,375,2202,0,
